Date,Open,High,Low,Close,Adj Close,Volume
2018-08-02,181.539993,182.899994,179.779999,182.600006,182.600006,20976500
2018-08-03,184.149994,184.500000,180.080002,180.839996,180.839996,18185100
2018-08-06,180.699997,180.860001,177.490005,178.619995,178.619995,35419000
2018-08-07,180.289993,183.000000,179.740005,179.919998,179.919998,20620300
2018-08-08,180.000000,180.179993,176.550003,177.520004,177.520004,21152400
2018-08-09,179.309998,180.630005,176.759995,177.190002,177.190002,35207300
2018-08-10,175.570007,180.449997,174.750000,180.009995,180.009995,22049200
2018-08-13,179.649994,180.649994,177.000000,177.679993,177.679993,14674000
2018-08-14,175.139999,176.199997,170.770004,172.529999,172.529999,38508600
2018-08-15,167.110001,169.850006,165.389999,169.830002,169.830002,41278600
2018-08-16,172.330002,175.699997,171.570007,171.990005,171.990005,34263300
2018-08-17,172.520004,174.199997,168.380005,172.779999,172.779999,24695400
2018-08-20,175.220001,178.860001,174.360001,176.289993,176.289993,25900700
2018-08-21,177.630005,179.669998,176.970001,177.919998,177.919998,20337400
2018-08-22,178.149994,179.740005,175.500000,177.850006,177.850006,27138500
2018-08-23,184.970001,186.500000,171.910004,172.229996,172.229996,78843400
2018-08-24,175.000000,176.369995,172.449997,174.229996,174.229996,30442800
2018-08-27,177.100006,180.880005,176.220001,180.649994,180.649994,23533800
2018-08-28,182.149994,182.380005,177.500000,178.190002,178.190002,15319000
2018-08-29,179.350006,179.660004,176.830002,178.500000,178.500000,11892600
2018-08-30,177.330002,178.100006,174.121994,174.600006,174.600006,17086200
2018-08-31,173.110001,176.681000,172.759995,175.009995,175.009995,13722100
