Date,Open,High,Low,Close,Adj Close,Volume
2010-01-05,4.474000,4.480000,4.410000,4.452000,4.154762,76000
2010-01-06,4.480000,4.482000,4.470000,4.482000,4.182759,56000
2010-01-07,4.298000,4.300000,4.254000,4.300000,4.012910,49500
2010-01-08,4.290000,4.360000,4.290000,4.358000,4.067038,26000
2010-01-11,4.440000,4.444000,4.426000,4.444000,4.147296,134000
2010-01-12,4.390000,4.390000,4.330000,4.366000,4.074505,67000
2010-01-13,4.370000,4.450000,4.370000,4.450000,4.152896,35000
2010-01-14,4.490000,4.500000,4.470000,4.488000,4.188359,271500
2010-01-15,4.520000,4.554000,4.468000,4.510000,4.208890,70000
2010-01-19,4.190000,4.226000,4.130000,4.224000,3.941985,165000
2010-01-20,4.020000,4.032000,3.924000,3.960000,3.695611,1448500
2010-01-21,3.928000,3.928000,3.900000,3.900000,3.639616,61500
2010-01-22,3.878000,3.880000,3.770000,3.770000,3.518296,291500
2010-01-25,3.792000,3.872000,3.792000,3.872000,3.613486,230000
2010-01-26,3.700000,3.730000,3.690000,3.690000,3.443637,73000
2010-01-27,3.668000,3.668000,3.600000,3.630000,3.387643,90000
2010-01-28,3.710000,3.778000,3.698000,3.700000,3.452970,174000
2010-01-29,3.778000,3.780000,3.722000,3.760000,3.508963,27000
2010-02-01,3.678000,3.692000,3.660000,3.660000,3.415640,38000
2010-02-02,3.662000,3.710000,3.662000,3.710000,3.462302,26500
2010-02-03,3.904000,3.904000,3.850000,3.894000,3.634017,38000
2010-02-04,3.786000,3.786000,3.642000,3.642000,3.398842,134500
2010-02-05,3.596000,3.596000,3.500000,3.518000,3.283121,302500
2010-02-08,3.578000,3.578000,3.514000,3.514000,3.279387,97500
2010-02-09,3.492000,3.510000,3.490000,3.510000,3.275655,31000
2010-02-10,3.554000,3.588000,3.530000,3.588000,3.348447,95000
2010-02-11,3.712000,3.768000,3.712000,3.768000,3.516429,40500
2010-02-12,3.800000,3.800000,3.750000,3.752000,3.501498,104500
2010-02-16,3.800000,3.892000,3.800000,3.836000,3.579889,56500
2010-02-17,3.868000,3.920000,3.860000,3.880000,3.620952,58500
2010-02-18,3.880000,3.900000,3.820000,3.900000,3.639616,80000
2010-02-19,3.710000,3.756000,3.654000,3.744000,3.494032,76000
2010-02-22,3.878000,3.878000,3.850000,3.878000,3.619085,386500
2010-02-23,3.880000,3.880000,3.850000,3.862000,3.604154,21000
2010-02-24,3.836000,3.880000,3.836000,3.860000,3.602287,40000
2010-02-25,3.764000,3.828000,3.764000,3.824000,3.568691,126000
2010-02-26,3.880000,3.902000,3.880000,3.902000,3.641482,17500
2010-03-01,4.000000,4.000000,3.966000,3.972000,3.706809,28000
2010-03-02,4.108000,4.110000,4.068000,4.096000,3.822531,56000
2010-03-03,4.076000,4.110000,4.064000,4.066000,3.794533,39500
2010-03-04,3.994000,4.000000,3.972000,3.984000,3.718008,62000
2010-03-05,4.100000,4.110000,4.080000,4.110000,3.835596,43000
2010-03-08,4.130000,4.140000,4.114000,4.114000,3.839329,117500
2010-03-09,4.140000,4.140000,4.100000,4.110000,3.835596,61500
2010-03-10,4.180000,4.250000,4.180000,4.182000,3.902789,186000
2010-03-11,4.232000,4.236000,4.210000,4.210000,3.928919,44000
2010-03-12,4.210000,4.210000,4.170000,4.188000,3.908389,58000
2010-03-15,4.358000,4.360000,4.276000,4.300000,4.012910,49500
2010-03-16,4.242000,4.320000,4.242000,4.300000,4.012910,56000
2010-03-17,4.290000,4.340000,4.290000,4.340000,4.050241,113500
2010-03-18,4.080000,4.080000,4.032000,4.078000,3.805732,436000
2010-03-19,4.060000,4.060000,4.010000,4.034000,3.764669,225500
2010-03-22,4.058000,4.102000,4.002000,4.102000,3.828131,229000
2010-03-23,4.108000,4.126000,4.050000,4.126000,3.850528,160500
2010-03-24,4.128000,4.128000,4.056000,4.066000,3.794533,190500
2010-03-25,4.100000,4.108000,4.056000,4.080000,3.807598,108000
2010-03-26,4.066000,4.120000,4.058000,4.118000,3.843061,170500
2010-03-29,4.150000,4.150000,4.090000,4.146000,3.869192,95000
2010-03-30,4.088000,4.088000,4.042000,4.076000,3.803866,122000
2010-03-31,4.038000,4.038000,4.006000,4.018000,3.749738,31500
2010-04-01,4.006000,4.006000,3.978000,3.986000,3.719874,57000
2010-04-05,3.960000,4.040000,3.960000,4.040000,3.770269,29500
2010-04-06,3.998000,4.040000,3.998000,4.040000,3.770269,76500
2010-04-07,4.048000,4.048000,3.988000,3.988000,3.721741,76000
2010-04-08,4.040000,4.110000,4.040000,4.110000,3.835596,130000
2010-04-09,4.160000,4.192000,4.156000,4.158000,3.880391,97500
2010-04-12,4.188000,4.190000,4.142000,4.146000,3.869192,195000
2010-04-13,4.168000,4.168000,4.110000,4.130000,3.854260,177500
2010-04-14,4.170000,4.180000,4.166000,4.170000,3.891590,74500
2010-04-15,4.148000,4.148000,4.100000,4.112000,3.837462,41000
2010-04-16,4.060000,4.098000,4.010000,4.012000,3.744139,28500
